name,ind,movement,genre,date,detail,picture,,
Un dimanche après-midi à l'Île de la Grande Jatte,Georges Seurat,Pointillisme,,1886,,georges-seurat---un-dimanche-après-midi-à-l'île-de-la-grande-jatte,link,https://www.google.fr/search?q=Un+dimanche+après-midi+à+l'Île+de+la+Grande+Jatte+Georges+Seurat
La Tour Eiffel,Georges Seurat,Pointillisme,,1889,,georges-seurat---la-tour-eiffel,link,https://www.google.fr/search?q=La+Tour+Eiffel+Georges+Seurat
"Luxe, Calme et Volupté",Henri Matisse,Pointillisme,Peinture historique,1904,,"henri-matisse---luxe,-calme-et-volupté",link,"https://www.google.fr/search?q=Luxe,+Calme+et+Volupté+Henri+Matisse"
Red Smile,Alex Katz,Pop Art,,1963,,alex-katz---red-smile,link,https://www.google.fr/search?q=Red+Smile+Alex+Katz
Ada with Bathing Cap,Alex Katz,Pop Art,,1982,,alex-katz---ada-with-bathing-cap,link,https://www.google.fr/search?q=Ada+with+Bathing+Cap+Alex+Katz
Gardanne,Paul Cézanne,Post impressionisme,,1886,,paul-cézanne---gardanne,link,https://www.google.fr/search?q=Gardanne+Paul+Cézanne
Vision après le Sermon,Paul Gauguin,Post impressionisme,,1888,,paul-gauguin---vision-après-le-sermon,link,https://www.google.fr/search?q=Vision+après+le+Sermon+Paul+Gauguin
Terrasse du café le soir,Vincent van Gogh,Post impressionisme,,1888,,vincent-van-gogh---terrasse-du-café-le-soir,link,https://www.google.fr/search?q=Terrasse+du+café+le+soir+Vincent+van+Gogh
La Maison et son entourage,Vincent van Gogh,Post impressionisme,,1888,,vincent-van-gogh---la-maison-et-son-entourage,link,https://www.google.fr/search?q=La+Maison+et+son+entourage+Vincent+van+Gogh
La nuit étoilée,Vincent van Gogh,Post impressionisme,Pastoral,1889,,vincent-van-gogh---la-nuit-étoilée,link,https://www.google.fr/search?q=La+nuit+étoilée+Vincent+van+Gogh
Femmes de Tahiti,Paul Gauguin,Post impressionisme,Peinture historique,1891,,paul-gauguin---femmes-de-tahiti,link,https://www.google.fr/search?q=Femmes+de+Tahiti+Paul+Gauguin
Les joueurs de cartes,Paul Cézanne,Post impressionisme,,1895,,paul-cézanne---les-joueurs-de-cartes,link,https://www.google.fr/search?q=Les+joueurs+de+cartes+Paul+Cézanne
femme à sa toilette,Henri de Toulouse-Lautrec,Post impressionisme,,1896,,henri-de-toulouse-lautrec---femme-à-sa-toilette,link,https://www.google.fr/search?q=femme+à+sa+toilette+Henri+de+Toulouse-Lautrec
D'où venons-nous ? Que sommes-nous ? Où allons-nous ?,Paul Gauguin,Post impressionisme,,1897,,,link,https://www.google.fr/search?q=D'où+venons-nous+?+Que+sommes-nous+?+Où+allons-nous+?+Paul+Gauguin
